Composition (at. %),Material condition,Processing history,Phase,Grain_size_um,Density_g_cm3,Hardness_GPa,Youngs_modulus_GPa,Yield_strength_MPa,UTS_MPa,Final_elongation_percent,Testing_temperature_K,Fracture_toughness_MPa_m0.5,Toughness_measure,Toughness_uncertainty_MPa_m0.5,Reference
Al16.67-Co16.67-Cr16.67-Cu16.67-Fe16.67-Ni16.67,as-deposited,LMD,BCC+FCC,,,2.77,149.0,,,,298.0,15.5,KIC,,"Dada, M., Popoola, P., Mathe, N., Adeosun, S. & Pityana, S. Investigating the elastic modulus and hardness properties of a high entropy alloy coating using nanoindentation. International Journal of Lightweight Materials and Manufacture 4, 339-345, doi:10.1016/j.ijlmm.2021.04.002 (2021)."
Al20.00-Co20.00-Cr20.00-Fe20.00-Ni20.00,remelted,plasma sprayed + laser remelted,BCC+α-Al2O3,,,5.68806,197.0,,,,298.0,186.47,KIC,,"Liu, Q., Dong, T.-s., Fu, B.-g., Li, G.-l. & Yang, L.-j. Effect of Laser Remelting on Microstructure and Properties of AlCoCrFeNi High-Entropy Alloy Coating. J. Mater. Eng. Perform. 30, 5728-5735, doi:10.1007/s11665-021-05806-0 (2021)."
Al2.43-B0.57-Co17.00-Cr26.57-Fe18.57-Mn19.86-Ni15.00,borided,arc-melted + borided (900°C & 4h) + air-cooled,boride [Fe1.1Cr0.9B0.9+Cr2Ni3B6+(Fe0.4Mn0.6)B+(Cr0.4Mn0.6)B+(CrFe)B2],,,19.0795185,202.03,,,,298.0,1.8,KIC,,"Günen, A. Tribocorrosion behavior of boronized Co1.19Cr1.86Fe1.30Mn1.39Ni1.05Al0.17B0.04 high entropy alloy. Surf. Coat. Technol. 421, doi:10.1016/j.surfcoat.2021.127426 (2021)."
Al2.43-B0.57-Co17.00-Cr26.57-Fe18.57-Mn19.86-Ni15.00,borided,arc-melted + borided (950°C & 4h) + air-cooled,boride [Cr2Ni3B6+(Fe0.4Mn0.6)B+(Cr0.4Mn0.6)B+(CrFe)B2],,,23.0317395,246.91,,,,298.0,3.84,KIC,,"Günen, A. Tribocorrosion behavior of boronized Co1.19Cr1.86Fe1.30Mn1.39Ni1.05Al0.17B0.04 high entropy alloy. Surf. Coat. Technol. 421, doi:10.1016/j.surfcoat.2021.127426 (2021)."
Al2.43-B0.57-Co17.00-Cr26.57-Fe18.57-Mn19.86-Ni15.00,borided,arc-melted + borided (1000°C & 4h) + air-cooled,boride [Cr2Ni3B6+(Fe0.4Mn0.6)B+(Cr0.4Mn0.6)B+(CrFe)B2],,,23.762361,263.6,,,,298.0,3.78,KIC,,"Günen, A. Tribocorrosion behavior of boronized Co1.19Cr1.86Fe1.30Mn1.39Ni1.05Al0.17B0.04 high entropy alloy. Surf. Coat. Technol. 421, doi:10.1016/j.surfcoat.2021.127426 (2021)."
Co20.00-Cr20.00-Fe20.00-Mn20.00-Ti20.00,annealed,high-pulse sintered (1000°C & 1min),BCC+C14 Laves,,,,,,,,298.0,2.04,KIC,,"Górniewicz1a, D., Jóźwiak, S., Przygucki, H. & Kopec, M. The concept of improving the fracture toughness of double-phase high entropy alloy produced by high-pulse sintering method U-FAST. 15th International Conference on Advances in Experimental Mechanics"
Co20.00-Cr20.00-Fe20.00-Mn20.00-Ti20.00,annealed,high-pulse sintered (1000°C & 1min) + annealed (1000°C & 1h),BCC+C14 Laves,,,,,,,,298.0,1.86,KIC,,"Górniewicz1a, D., Jóźwiak, S., Przygucki, H. & Kopec, M. The concept of improving the fracture toughness of double-phase high entropy alloy produced by high-pulse sintering method U-FAST. 15th International Conference on Advances in Experimental Mechanics"
Co20.00-Cr20.00-Fe20.00-Mn20.00-Ti20.00,annealed,high-pulse sintered (1000°C & 1min) + annealed (1000°C & 10h),BCC+C14 Laves,,,,,,,,298.0,2.44,KIC,,"Górniewicz1a, D., Jóźwiak, S., Przygucki, H. & Kopec, M. The concept of improving the fracture toughness of double-phase high entropy alloy produced by high-pulse sintering method U-FAST. 15th International Conference on Advances in Experimental Mechanics"
Co20.00-Cr20.00-Fe20.00-Mn20.00-Ti20.00,annealed,high-pulse sintered (1000°C & 1min) + annealed (1000°C & 20h),BCC+C14 Laves,,,,,,,,298.0,2.56,KIC,,"Górniewicz1a, D., Jóźwiak, S., Przygucki, H. & Kopec, M. The concept of improving the fracture toughness of double-phase high entropy alloy produced by high-pulse sintering method U-FAST. 15th International Conference on Advances in Experimental Mechanics"
Co20.00-Cr20.00-Fe20.00-Mn20.00-Ti20.00,annealed,high-pulse sintered (1000°C & 1min) + annealed (1000°C & 50h),BCC+C14 Laves,,,,,,,,298.0,2.55,KIC,,"Górniewicz1a, D., Jóźwiak, S., Przygucki, H. & Kopec, M. The concept of improving the fracture toughness of double-phase high entropy alloy produced by high-pulse sintering method U-FAST. 15th International Conference on Advances in Experimental Mechanics"
